标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
滨海新城 罗荣苑 81平温馨小3居 房东自住精装 设备全留,43.5,5404,罗荣苑,罗源,3,80.5,南北,2015,"['南北', '满二年']"
中层看江三房，自住装修，价格可谈，紧凑户型，无遮挡视野。,175,20088,中海寰宇天下,闽侯,3,87.12,南,2016,"['南', '满二年', '近地铁']"
房东装修20万，目前正在装修，22年次新社区人车分流高端社区,240,24727,大名城紫金九号,仓山,3,97.06,南,2022,"['南', '有电梯', '近地铁', '车位充足']"
地铁4号沿线，茶园山，杨桥中，贴砖3房，洪腾新村，全明户型。,258,31141,洪腾新村,鼓楼,3,82.85,南北,2003,"['南北', '满五年', '近地铁', '车位充足']"
新出 罕见 户型，标准3房2阳，正对中心花园，中间楼层,241,24100,五凤兰庭一期,鼓楼,3,100,南北,2004,"['南北', '满五年']"
杨桥路2018年小区，298w拿走，电梯3房,315,35000,陆庄庭苑,鼓楼,3,90,南北,2018,"['南北', '满五年', '近地铁', '次新房']"
五四路10年电梯，省体中心旁，琴亭新苑 东南向不沿街 高层,108,18000,琴亭新苑,晋安,2,60,南北,2010,"['南北', '满五年', '近地铁']"
央企现房别墅！五城区沿江头排！花园地下室！有天有地!看房接送,128,9352,琅岐山语城,马尾,3,136.88,南北,2021,"['南北通透', '配套成熟', '优势户型']"
泰禾红树林(1期) 高楼层采光充足 精装好房 复试刚需小三居,170,20088,泰禾红树林(1期),仓山,3,84.63,南北,2013,"['南北', '满五年', '车位充足', '多人关注']"
仓山万达爱情海旁，大乐购对面钱隆金山电梯中高层三房，装修清楚,219,23951,福晟钱隆金山,仓山,3,91.44,南北,2010,"['南北', '满二年', '近地铁']"
省体北门正对面！融侨品质！精装三房！诚意售出价谈！,245,26282,融侨花园2区,鼓楼,3,93.22,南北,2002,"['南北', '满五年', '近地铁']"
洋中新村 2室1厅 中装,93,16502,洋中新村,台江,2,56.36,南北,1999,"['南北', '近地铁']"
万家旁，正荣88复式楼 楼板倒好 动静分离 南北通透,122,13932,正荣悦澜湾,闽侯,3,87.57,南,2015,['南']
万科物业 精装3房 纯商品房 人车分离 拎包即住,168,20829,天空之城天玺,晋安,3,80.66,南,2020,"['南', '有电梯', '次新房', '人气热搜']"
排尾路次新社区 万科金域国际 精装修送私家露台,339,35741,万科金域国际,台江,3,94.85,东南,2022,"['东南', '有电梯', '近地铁', '次新房']"
三盛国际公园香樟里 87平 3室2厅 精装电梯 花园洋房社区,185,21047,三盛国际公园香樟里,晋安,3,87.9,南北,2017,"['南北', '满二年']"
鲁能公馆一期 南向采光好 商品房 有电梯 楼龄新 交通便利,280,24803,鲁能公馆一期,晋安,3,112.89,西南,2018,"['西南', '有电梯', '近地铁', '次新房']"
全小区总价低 一套看房电话联系 看房方便 有钥匙.,107,17834,长乐名城紫金轩,长乐,2,60,南北,2020,"['南北', '有电梯', '车位充足']"
鼓楼区 白马北路小柳小 精装框架2房 南北通透 西洋地铁口,143,22000,斗池新村B区,鼓楼,2,65,南北,1998,"['南北', '满五年', '近地铁', '多人关注']"
九凤花园 复古美式风格大四房便宜卖,90,7500,九凤花园,闽侯,4,120,南,2017,"['南', '满二年']"
前锦新城二期 3室2厅 两卫，居家三房两卫，,108,11786,前锦新城2区西部,仓山,3,91.64,西南,2010,"['西南', '满二年', '近地铁', '多人关注']"
阳光城新界 四室两厅两卫 低总价 地铁旁,263,23821,阳光城新界,仓山,4,110.41,南北,2013,"['南北', '近地铁']"
东端头落地一楼，带百平院子，全新装修未入住，可建阳光房,230,20721,中海寰宇天下,闽侯,3,111,南,2016,"['南', '满二年', '近地铁', '多人关注']"
新榕金城湾141.36平328万3室2厅2卫,328,23204,新榕金城湾,仓山,3,141.36,南北,2015,"['南北', '满二年', '近地铁']"
东二环泰禾 4号地铁口 有证 送车位 边套 三面采光,220,24469,蓝光星珀,晋安,3,89.91,南,2022,"['南', '有电梯', '近地铁', '次新房']"
万达对面 海润社区 电梯商品房 大三房 满两年,271,22988,海润尊品,仓山,3,117.89,南北,2010,"['南北', '满二年', '近地铁']"
精装修中段楼层地铁口商品房,165,21910,天空之城,晋安,3,75.31,南,2018,"['南', '有电梯', '近地铁', '次新房']"
三叉街 纯商社区 电梯高层 大三房 带入户花园 性价比很OK,248,24709,金辉伯爵山,仓山,3,100.37,南北,2009,"['南北', '满二年', '近地铁']"
苏宁万象宝龙商圈，04年社区精装4居自添软装可入住，满2省税,199,24174,荷花新村,台江,4,82.32,南北,2004,"['南北', '房东直卖', '满二年', '近地铁']"
晋安 东泰禾附近 温泉公园旁 塔头路 中海锦园 正规两房出售,217,29504,中海锦园,晋安,2,73.55,南北,2021,"['南北', '随时可看']"
奥体公馆 刚需小三居 正规商品房 双卫生间 近地铁 近医院,210,21935,奥体公馆,仓山,3,95.74,南,2013,"['南', 'VIP房东直卖', '满二年', '近地铁']"
蓝山四季，电梯高层，地铁口3房2卫，不沿街路，近永辉沃尔玛,225,20033,蓝山四季,晋安,3,112.32,南北,2006,"['南北', '满二年', '近地铁']"
万科金域国际 2室2厅 东南，靠近台江步行街，在排位路，有钥,170,22568,万科金域国际,台江,2,75.33,东南,2022,"['东南', '有电梯', '近地铁', '次新房']"
大人物标配 大卫城 独梯独户 入户20平 复试四房 质感精装,507,38360,融信大卫城B区,仓山,4,132.17,南北,2010,"['南北', '有电梯', '近地铁']"
21年新社区电梯房 朝南 3室 前锦新苑 诚心出售 价格可议,95,10440,前锦新苑,仓山,3,91,东南,2021,"['东南', '热门小区', '近地铁', '价格优惠']"
学生街繁华地段.施程小 .电梯刚需三房.拎包入住.送车位,213,22660,鸿城小区2期,仓山,3,94,南北,2004,"['南北', '满二年', '近地铁']"
新出霞镜3房，精装修，证已办，高楼层采光好，仓山万达奥体中心,155,19375,霞镜新城三区,仓山,3,80,南北,2019,"['南北', '满二年', '近地铁', '次新房']"
双卫格局 刚需小三居 满二 带电梯 正规商品房,129,12404,碧桂园华榕世纪城,福清,3,104,南,2019,"['南', '满二年', '次新房']"
降价20万 三盛中央公园 精装两房 电梯高层 12平大阳台,179,21953,三盛中央公园西区,晋安,2,81.54,南,2015,"['南', '满二年', '近地铁']"
阳光城西海岸B区 4室2厅,178,14221,阳光城西海岸,闽侯,4,125.17,南北,2014,"['南北', '满二年']"
王庄 购物方便 临地铁 精装修 中间楼层采光好,208,23112,世欧王庄四区,晋安,3,90,南北,2014,"['南北', '近地铁']"
双地铁，门口沃尔玛，新区小格致中，时代美景，电梯精装3房,230,20759,时代美景,晋安,3,110.8,南北,2004,"['南北', '满二年', '近地铁']"
文化宫旁省人民医院对面双杭城澜园平层三房南北通透双阳台采光好,215,24432,融信双杭城别院,台江,3,88,南北,2022,"['南北', '有电梯', '近地铁', '次新房']"
！单价7777，来电送家电 房源不限，可选好楼层，有看江,80.5,9045,中铁江湾悦城,闽侯,3,89,南北,2021,"['热门小区', '南北通透', '公摊小']"
降价 中联名城 性价比高 电梯房 双卫 精装可拎包入住,178,14976,中联名城一区,福清,3,118.86,南北,2017,"['热门小区', '南北通透', '优势户型']"
果岭生活(AB区) 环境优美 正南朝向 交通便捷 临地铁,239,20604,果岭生活(AB区),晋安,3,116,南,2006,"['南', '近地铁', '绿化率高']"
南北通透 近地铁 双卫 带产权车位 满五 高楼层采光充足,160,10888,融信上江城,长乐,4,146.96,南北,2000,"['热门小区', '南北通透', '价格优惠']"
连潘精装三房 二环内 刚需 看房方便,168,23942,长福家园,晋安,3,70.17,南北,2003,"['南北', '近地铁']"
低总价框架3房 湖滨小 不过街，南北通透一梯两户，小区改造,218,25648,西洪路180号新村,鼓楼,3,85,南北,1998,"['南北', '满二年', '近地铁']"
双卫生间 交通便利 近地铁 近医院 满五 带电梯,349,33239,衣锦华庭,鼓楼,3,105,西北,2012,"['西北', '满五年', '近地铁']"
鼓楼西江滨，凤湖新城二区，电梯高层，全明3房，融侨小，配套齐,239,21927,凤湖新城二区,鼓楼,3,109,南北,2014,"['南北', '满五年', '近地铁', '车位充足']"
商品房，五凤山庄。拎包入住，厅带采光，免接送铜盘小，采光好,217,20281,五凤山庄,鼓楼,3,107,南北,2005,"['南北', '满五年']"
鼓楼区 永德信花园 三房 320万,320,38096,永德信花园,鼓楼,3,84,南北,1998,"['南北', '满二年', '近地铁', '车位充足']"
五四北龙湖云峰原著！2成首付国庆特惠！送花园地下室,319,25642,龙湖云峰原著,晋安,4,124.41,南北,2021,"['南北', '满二年', '次新房', '人气热搜']"
农大沙滩公园旁 全线看江 淮安半岛泊郡 精装修三房 电梯高层,218,20045,金辉淮安半岛泊郡,仓山,3,108.76,南北,2016,"['南北', '满二年', '车位充足', '多人关注']"
洪湾地铁口！四附小！丽景天成精装大四房！百米楼间距！随时看房,249,19811,丽景天成1期,仓山,4,125.69,南北,2007,"['南北', '满五年', '近地铁', '人气热搜']"
紫阳地铁口，精装3房，东南向，采光佳,226,24888,世欧王庄一区,晋安,3,90.81,东南,2015,"['东南', '满二年', '近地铁']"
寻有缘人 中天金海岸金爵苑 精装修30万 拎包入住,225,23194,中天金海岸金爵苑天泽江鼎,仓山,2,97.01,南,2018,"['南', '满二年', '近地铁', '次新房']"
新到 换房急售 大儒世家藏珑 电梯3房全明结构 南北通透,258,20394,大儒世家藏珑,鼓楼,3,126.51,南北,2010,"['南北', '房东直卖', '有电梯', '近地铁']"
单价六千多买 九凤花园 90平 简装3房 满2年 高层,60,6667,九凤花园,闽侯,3,90,南北,2015,"['南北', '满二年', '多人关注']"
时代美景 沃尔玛对面 电梯三房 全明 新区小 208万,208,20538,时代美景,晋安,3,101.28,南北,2003,"['南北', '满五年', '近地铁']"
金辉天鹅湾 双卫格局 交通便利 商品房 板楼 小区绿化高,290,24745,金辉天鹅湾,仓山,3,117.2,南北,2012,"['南北', '满二年', '近地铁', '绿化率高']"
房屋稳定出售，井大小，福一 中，框架精装三房，拎包入住。,268,36713,光复新村,鼓楼,3,73,南北,1997,"['南北', '满二年', '近地铁']"
玉融正荣府 次新小区 南向采光好 停车方便 有电梯,115,10385,玉融正荣府,福清,4,110.74,南,2022,"['南', '有电梯', '车位充足']"
仓小 电梯大三房 环境优美,349,29942,新兴公寓,仓山,3,116.56,南,2000,"['南', 'VIP房东直卖', '满二年', '近地铁']"
低总价， 旁，江南水都杰座，融侨物业管理，高性价比三房！！,268,30262,融侨江南水都杰座东区,仓山,3,88.56,南,2006,"['南', '房东直卖', '有电梯', '人气热搜']"
钱隆金山 三房户型 近地铁 临近万达商圈,175,23579,福晟钱隆金山,仓山,3,74.22,东西,2010,"['东西', '满五年', '近地铁']"
华润橡树湾家园 装修大3房，端头户型，看流花溪公园,265,20426,华润橡树湾,仓山,3,129.74,南北,2013,"['南北', '满二年']"
晴园虹景，高层电梯，89.5平，精装，,215,24023,晴园虹锦公寓,鼓楼,3,89.5,南北,2006,"['南北', '唯一住房', '近地铁']"
龙芝嘉华 小户型好房楼层好户型好 看房电话联系,148,16819,龙芝嘉华,长乐,3,88,南北,2016,"['南北', '热门小区', '配套成熟', '价格优惠']"
高层4房2卫，带装修，华润紫云府一期，端头位置，满2年,165,14986,华润紫云府,马尾,4,110.11,南北,2019,"['南北', '满二年', '次新房', '多人关注']"
77平宽敞4房3卫 产权77使用125复式精装 可看江近地铁,110,14448,万科云城,仓山,4,76.14,南,2023,"['南', '近地铁', '次新房']"
